Food_Code;Display_Name;Portion_Default;Portion_Amount;Portion_Display_Name;Factor;Increment;Multiplier;Grains;Whole_Grains;Vegetables;Orange_Vegetables;Darkgreen_Vegetables;Starchy_Vegetables;Other_Vegetables;Fruits;Milk;Meats;Soy;Drybeans_Peas;Oils;Solid_Fats;Added_Sugars;Alcohol;Calories;Saturated_Fats
83210200;Fat-free ranch dressing;1;100.000;Tablespoon;100.000;.50000;.50000;.00000;.00000;.01733;.00000;.00000;.00000;.01733;.00000;.01221;.00000;.00000;.00000;.00000;390.703;313.783;.00000;1.765.500;.08085
83210200;Fat-free ranch dressing;2;100.000;packet;100.000;.50000;.50000;.00000;.00000;.04620;.00000;.00000;.00000;.04620;.00000;.03256;.00000;.00000;.00000;.00000;1.041.876;836.756;.00000;4.708.000;.21560
91101010;White sugar (granulated or lump);1;100.000;teaspoon;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;1.625.400;.00000;1.625.400;.00000
91101010;White sugar (granulated or lump);2;.25000;cup;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;19.350.000;.00000;19.350.000;.00000
91101010;White sugar (granulated or lump);2;100.000;lump (2 cubes);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;1.935.000;.00000;1.935.000;.00000
91101010;White sugar (granulated or lump);2;100.000;individual packet;100.000;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;2.322.000;.00000;2.322.000;.00000
91101020;Powdered sugar (confectioner's sugar);1;100.000;teaspoon;100.000;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;948.177;.00000;972.500;.00050
91101020;Powdered sugar (confectioner's sugar);2;.25000;cup;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;11.378.125;.00000;11.670.000;.00600
91102010;Brown sugar;1;100.000;teaspoon, packed;100.000;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;1.714.365;.00000;1.734.200;.00000
91200000;Calorie-free sweetener;1;100.000;individual packet;100.000;100.000;100.000;.02950;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00016;.00000;.00000;.00000;140.800;.00008
